section_id,section_text,word_id,concept(sub),relation,obj,question,each_answer
1,"A young man was out walking one day in Erin, leading a stout cart-horse
by the bridle. He was thinking of his mother and how poor they were
since his father, who was a fisherman, had been drowned at sea, and
wondering what he should do to earn a living for both of them. Suddenly
a hand was laid on his shoulder, and a voice said to him:

'Will you sell me your horse, son of the fisherman?' and looking up he
beheld a man standing in the road with a gun in his hand, a falcon on
his shoulder, and a dog by his side.

'What will you give me for my horse?' asked the youth. 'Will you give me
your gun, and your dog, and your falcon?'",52,earn,has subevent,get,What does earn mean?,get.
1,"A young man was out walking one day in Erin, leading a stout cart-horse
by the bridle. He was thinking of his mother and how poor they were
since his father, who was a fisherman, had been drowned at sea, and
wondering what he should do to earn a living for both of them. Suddenly
a hand was laid on his shoulder, and a voice said to him:

'Will you sell me your horse, son of the fisherman?' and looking up he
beheld a man standing in the road with a gun in his hand, a falcon on
his shoulder, and a dog by his side.

'What will you give me for my horse?' asked the youth. 'Will you give me
your gun, and your dog, and your falcon?'",99,road,is used for,travelers,What is a road used for?,A road is used for traveling.
2,"'I will give them,' answered the man, and he took the horse, and the
youth took the gun and the dog and the falcon, and went home with them.
But when his mother heard what he had done she was very angry, and beat
him with a stick which she had in her hand.

'That will teach you to sell my property,' said she, when her arm was
quite tired, but Ian her son answered her nothing, and went off to his
bed, for he was very sore.

That night he rose softly, and left the house carrying the gun with him.
'I will not stay here to be beaten,' thought he, and he walked and
he walked and he walked, till it was day again, and he was hungry and
looked about him to see if he could get anything to eat. Not very far
off was a farm-house, so he went there, and knocked at the door, and the
farmer and his wife begged him to come in, and share their breakfast.",55,stick,is at location of,forest,Where can you find a stick?,In the forest.
2,"'I will give them,' answered the man, and he took the horse, and the
youth took the gun and the dog and the falcon, and went home with them.
But when his mother heard what he had done she was very angry, and beat
him with a stick which she had in her hand.

'That will teach you to sell my property,' said she, when her arm was
quite tired, but Ian her son answered her nothing, and went off to his
bed, for he was very sore.

That night he rose softly, and left the house carrying the gun with him.
'I will not stay here to be beaten,' thought he, and he walked and
he walked and he walked, till it was day again, and he was hungry and
looked about him to see if he could get anything to eat. Not very far
off was a farm-house, so he went there, and knocked at the door, and the
farmer and his wife begged him to come in, and share their breakfast.",70,property,is a,possession,What is property?,Property is something you own.
3,"'Ah, you have a gun,' said the farmer as the young man placed it in a
corner. 'That is well, for a deer comes every evening to eat my corn,
and I cannot catch it. It is fortune that has sent you to me.'

'I will gladly remain and shoot the deer for you,' replied the youth,
and that night he hid himself and watched till the deer came to the
cornfield; then he lifted his gun to his shoulder and was just going
to pull the trigger, when, behold! instead of a deer, a woman with long
black hair was standing there. At this sight his gun almost dropped from
his hand in surprise, but as he looked, there was the deer eating the
corn again. And thrice this happened, till the deer ran away over the
moor, and the young man after her.",147,corn,is a,vegetable,What type of food is corn?,A vegetable.
3,"'Ah, you have a gun,' said the farmer as the young man placed it in a
corner. 'That is well, for a deer comes every evening to eat my corn,
and I cannot catch it. It is fortune that has sent you to me.'

'I will gladly remain and shoot the deer for you,' replied the youth,
and that night he hid himself and watched till the deer came to the
cornfield; then he lifted his gun to his shoulder and was just going
to pull the trigger, when, behold! instead of a deer, a woman with long
black hair was standing there. At this sight his gun almost dropped from
his hand in surprise, but as he looked, there was the deer eating the
corn again. And thrice this happened, till the deer ran away over the
moor, and the young man after her.",34,corn,is at location of,field,What color is corn?,Corn is yellow.
4,"On they went, on and on and one, till they reached a cottage which was
thatched with heather. With a bound the deer sprang on the roof, and lay
down where none could see her, but as she did so she called out, 'Go in,
fisher's son, and eat and drink while you may.' So he entered and found
food and wine on the table, but no man, for the house belonged to some
robbers, who were still away at their wicked business.

After Ian, the fisher's son, had eaten all he wanted, he hid himself
behind a great cask, and very soon he heard a noise, as of men coming
through the heather, and the small twigs snapping under their feet.
From his dark corner he could see into the room, and he counted four and
twenty of them, all big, cross-looking men.

'Some one has been eating our dinner,' cried they, 'and there was hardly
enough for ourselves.'",139,twig,has subevent,branch,What are small branches called?,Twigs.
4,"On they went, on and on and one, till they reached a cottage which was
thatched with heather. With a bound the deer sprang on the roof, and lay
down where none could see her, but as she did so she called out, 'Go in,
fisher's son, and eat and drink while you may.' So he entered and found
food and wine on the table, but no man, for the house belonged to some
robbers, who were still away at their wicked business.

After Ian, the fisher's son, had eaten all he wanted, he hid himself
behind a great cask, and very soon he heard a noise, as of men coming
through the heather, and the small twigs snapping under their feet.
From his dark corner he could see into the room, and he counted four and
twenty of them, all big, cross-looking men.

'Some one has been eating our dinner,' cried they, 'and there was hardly
enough for ourselves.'",29,roof,is a,protective_covering,What is a roof used for?,A roof is used to protect a building.
5,"'It is the man who is lying under the cask,' answered the leader. 'Go
and kill him, and then come and eat your food and sleep, for we must be
off betimes in the morning.'

So four of them killed the fisher's son and left him, and then went to
bed.

By sunrise they were all out of the house, for they had far to go. And
when they had disappeared the deer came off the roof, to where the dead
man lay, and she shook her head over him, and wax fell from her ear, and
he jumped up as well as ever.",88,roof,is used for,keeping_rain_off,What keeps rain out of your house?,The roof.
5,"'It is the man who is lying under the cask,' answered the leader. 'Go
and kill him, and then come and eat your food and sleep, for we must be
off betimes in the morning.'

So four of them killed the fisher's son and left him, and then went to
bed.

By sunrise they were all out of the house, for they had far to go. And
when they had disappeared the deer came off the roof, to where the dead
man lay, and she shook her head over him, and wax fell from her ear, and
he jumped up as well as ever.",59,bed,is at location of,house,Where is your bed?,You bed is in your bedroom.
